timestamp,event_type,raw,C,F,flowLpm,turbidity_pct,NTU,heaterEnable,setTempF,heaterDemand,heaterOn,overTemp,secOver,heaterStop,levelOk,lidClosed,ui_heater_enable,ui_cycle_state,ui_cycle_remaining_s,ui_cycle_duration_s,ui_cycle_temp_set_f
2026-02-05 13:05:24.904,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:05:25.909,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:05:26.914,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:05:27.916,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:05:28.917,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:05:29.920,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:05:30.920,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:05:31.922,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:05:32.926,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:05:33.931,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:05:34.932,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:04.739,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:05.744,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:06.746,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:07.750,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:08.755,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:09.758,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:10.763,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:11.766,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:12.768,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:13.773,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:14.776,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:15.781,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:16.782,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:17.783,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:18.788,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:19.789,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:20.791,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:21.796,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:22.799,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:23.805,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:24.805,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:25.809,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:26.813,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:27.814,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:28.817,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:29.820,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:30.824,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:31.828,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:32.833,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:33.834,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:34.839,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:35.844,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:36.849,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:37.854,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:38.857,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:39.860,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:40.865,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:41.868,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:42.874,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:43.878,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:44.881,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:45.884,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:46.888,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:47.889,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:48.892,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:49.896,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:50.899,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:51.901,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:52.906,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:53.911,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:56.027,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:57.032,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:58.034,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:59.039,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:00.040,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
